date,day,note,school_day
17-Aug-17,Thursday,,1
18-Aug-17,Friday,,1
19-Aug-17,Saturday,Weekend,0
20-Aug-17,Sunday,Weekend,0
21-Aug-17,Monday,Teacher Inservice/Workday,0
22-Aug-17,Tuesday,,1
23-Aug-17,Wednesday,,1
24-Aug-17,Thursday,,1
25-Aug-17,Friday,,1
26-Aug-17,Saturday,Weekend,0
27-Aug-17,Sunday,Weekend,0
28-Aug-17,Monday,,1
29-Aug-17,Tuesday,,1
30-Aug-17,Wednesday,,1
31-Aug-17,Thursday,,1
1-Sep-17,Friday,,1
2-Sep-17,Saturday,Weekend,0
3-Sep-17,Sunday,Weekend,0
4-Sep-17,Monday,Labor Day Holiday,0
5-Sep-17,Tuesday,,1
6-Sep-17,Wednesday,,1
7-Sep-17,Thursday,,1
8-Sep-17,Friday,,1
9-Sep-17,Saturday,Weekend,0
10-Sep-17,Sunday,Weekend,0
11-Sep-17,Monday,,1
12-Sep-17,Tuesday,,1
13-Sep-17,Wednesday,,1
14-Sep-17,Thursday,,1
15-Sep-17,Friday,,1
16-Sep-17,Saturday,Weekend,0
17-Sep-17,Sunday,Weekend,0
18-Sep-17,Monday,,1
19-Sep-17,Tuesday,,1
20-Sep-17,Wednesday,,1
21-Sep-17,Thursday,,1
22-Sep-17,Friday,,1
23-Sep-17,Saturday,Weekend,0
24-Sep-17,Sunday,Weekend,0
25-Sep-17,Monday,,1
26-Sep-17,Tuesday,,1
27-Sep-17,Wednesday,,1
28-Sep-17,Thursday,,1
29-Sep-17,Friday,,1
30-Sep-17,Saturday,Weekend,0
1-Oct-17,Sunday,Weekend,0
2-Oct-17,Monday,,1
3-Oct-17,Tuesday,,1
4-Oct-17,Wednesday,,1
5-Oct-17,Thursday,,1
6-Oct-17,Friday,,1
7-Oct-17,Saturday,Weekend,0
8-Oct-17,Sunday,Weekend,0
9-Oct-17,Monday,,1
10-Oct-17,Tuesday,,1
11-Oct-17,Wednesday,,1
12-Oct-17,Thursday,,1
13-Oct-17,Friday,,1
14-Oct-17,Saturday,Weekend,0
15-Oct-17,Sunday,Weekend,0
16-Oct-17,Monday,,1
17-Oct-17,Tuesday,,1
18-Oct-17,Wednesday,,1
19-Oct-17,Thursday,,1
20-Oct-17,Friday,Teacher Inservice/Workday,0
21-Oct-17,Saturday,Weekend,0
22-Oct-17,Sunday,Weekend,0
23-Oct-17,Monday,,1
24-Oct-17,Tuesday,,1
25-Oct-17,Wednesday,,1
26-Oct-17,Thursday,,1
27-Oct-17,Friday,,1
28-Oct-17,Saturday,Weekend,0
29-Oct-17,Sunday,Weekend,0
30-Oct-17,Monday,,1
31-Oct-17,Tuesday,,1
1-Nov-17,Wednesday,,1
2-Nov-17,Thursday,,1
3-Nov-17,Friday,,1
4-Nov-17,Saturday,Weekend,0
5-Nov-17,Sunday,Weekend,0
6-Nov-17,Monday,,1
7-Nov-17,Tuesday,Election Day Holiday,0
8-Nov-17,Wednesday,,1
9-Nov-17,Thursday,,1
10-Nov-17,Friday,,1
11-Nov-17,Saturday,Weekend,0
12-Nov-17,Sunday,Weekend,0
13-Nov-17,Monday,,1
14-Nov-17,Tuesday,,1
15-Nov-17,Wednesday,,1
16-Nov-17,Thursday,,1
17-Nov-17,Friday,,1
18-Nov-17,Saturday,Weekend,0
19-Nov-17,Sunday,Weekend,0
20-Nov-17,Monday,,1
21-Nov-17,Tuesday,,1
22-Nov-17,Wednesday,Thanksgiving Holiday,0
23-Nov-17,Thursday,Thanksgiving Holiday,0
24-Nov-17,Friday,Thanksgiving Holiday,0
25-Nov-17,Saturday,Weekend,0
26-Nov-17,Sunday,Weekend,0
27-Nov-17,Monday,,1
28-Nov-17,Tuesday,,1
29-Nov-17,Wednesday,,1
30-Nov-17,Thursday,,1
1-Dec-17,Friday,,1
2-Dec-17,Saturday,Weekend,0
3-Dec-17,Sunday,Weekend,0
4-Dec-17,Monday,,1
5-Dec-17,Tuesday,,1
6-Dec-17,Wednesday,,1
7-Dec-17,Thursday,,1
8-Dec-17,Friday,,1
9-Dec-17,Saturday,Weekend,0
10-Dec-17,Sunday,Weekend,0
11-Dec-17,Monday,,1
12-Dec-17,Tuesday,,1
13-Dec-17,Wednesday,,1
14-Dec-17,Thursday,,1
15-Dec-17,Friday,,1
16-Dec-17,Saturday,Weekend,0
17-Dec-17,Sunday,Weekend,0
18-Dec-17,Monday,,1
19-Dec-17,Tuesday,,1
20-Dec-17,Wednesday,,1
21-Dec-17,Thursday,,1
22-Dec-17,Friday,Christmas Holiday,0
23-Dec-17,Saturday,Weekend,0
24-Dec-17,Sunday,Weekend,0
25-Dec-17,Monday,Christmas Holiday,0
26-Dec-17,Tuesday,Christmas Holiday,0
27-Dec-17,Wednesday,Christmas Holiday,0
28-Dec-17,Thursday,Christmas Holiday,0
29-Dec-17,Friday,Christmas Holiday,0
30-Dec-17,Saturday,Weekend,0
31-Dec-17,Sunday,Weekend,0
1-Jan-18,Monday,New Years Holiday,0
2-Jan-18,Tuesday,New Years Holiday,0
3-Jan-18,Wednesday,New Years Holiday,0
4-Jan-18,Thursday,New Years Holiday,0
5-Jan-18,Friday,Teacher Inservice/Workday,0
6-Jan-18,Saturday,Weekend,0
7-Jan-18,Sunday,Weekend,0
8-Jan-18,Monday,,1
9-Jan-18,Tuesday,,1
10-Jan-18,Wednesday,,1
11-Jan-18,Thursday,,1
12-Jan-18,Friday,,1
13-Jan-18,Saturday,Weekend,0
14-Jan-18,Sunday,Weekend,0
15-Jan-18,Monday,"Martin Luther King, Jr. Holiday",0
16-Jan-18,Tuesday,,1
17-Jan-18,Wednesday,,1
18-Jan-18,Thursday,,1
19-Jan-18,Friday,,1
20-Jan-18,Saturday,Weekend,0
21-Jan-18,Sunday,Weekend,0
22-Jan-18,Monday,,1
23-Jan-18,Tuesday,,1
24-Jan-18,Wednesday,,1
25-Jan-18,Thursday,,1
26-Jan-18,Friday,,1
27-Jan-18,Saturday,Weekend,0
28-Jan-18,Sunday,Weekend,0
29-Jan-18,Monday,,1
30-Jan-18,Tuesday,,1
31-Jan-18,Wednesday,,1
1-Feb-18,Thursday,,1
2-Feb-18,Friday,,1
3-Feb-18,Saturday,Weekend,0
4-Feb-18,Sunday,Weekend,0
5-Feb-18,Monday,,1
6-Feb-18,Tuesday,,1
7-Feb-18,Wednesday,,1
8-Feb-18,Thursday,,1
9-Feb-18,Friday,,1
10-Feb-18,Saturday,Weekend,0
11-Feb-18,Sunday,Weekend,0
12-Feb-18,Monday,,1
13-Feb-18,Tuesday,,1
14-Feb-18,Wednesday,,1
15-Feb-18,Thursday,,1
16-Feb-18,Friday,,1
17-Feb-18,Saturday,Weekend,0
18-Feb-18,Sunday,Weekend,0
19-Feb-18,Monday,Teacher Inservice/Workday,0
20-Feb-18,Tuesday,,1
21-Feb-18,Wednesday,,1
22-Feb-18,Thursday,,1
23-Feb-18,Friday,,1
24-Feb-18,Saturday,Weekend,0
25-Feb-18,Sunday,Weekend,0
26-Feb-18,Monday,,1
27-Feb-18,Tuesday,,1
28-Feb-18,Wednesday,,1
1-Mar-18,Thursday,,1
2-Mar-18,Friday,,1
3-Mar-18,Saturday,Weekend,0
4-Mar-18,Sunday,Weekend,0
5-Mar-18,Monday,,1
6-Mar-18,Tuesday,,1
7-Mar-18,Wednesday,,1
8-Mar-18,Thursday,,1
9-Mar-18,Friday,,1
10-Mar-18,Saturday,Weekend,0
11-Mar-18,Sunday,Weekend,0
12-Mar-18,Monday,,1
13-Mar-18,Tuesday,,1
14-Mar-18,Wednesday,,1
15-Mar-18,Thursday,,1
16-Mar-18,Friday,,1
17-Mar-18,Saturday,Weekend,0
18-Mar-18,Sunday,Weekend,0
19-Mar-18,Monday,,1
20-Mar-18,Tuesday,,1
21-Mar-18,Wednesday,,1
22-Mar-18,Thursday,,1
23-Mar-18,Friday,,1
24-Mar-18,Saturday,Weekend,0
25-Mar-18,Sunday,Weekend,0
26-Mar-18,Monday,,1
27-Mar-18,Tuesday,,1
28-Mar-18,Wednesday,,1
29-Mar-18,Thursday,,1
30-Mar-18,Friday,Teacher Inservice/Workday,0
31-Mar-18,Saturday,Weekend,0
1-Apr-18,Sunday,Weekend,0
2-Apr-18,Monday,Spring Holidays,0
3-Apr-18,Tuesday,Spring Holidays,0
4-Apr-18,Wednesday,Spring Holidays,0
5-Apr-18,Thursday,Spring Holidays,0
6-Apr-18,Friday,Spring Holidays,0
7-Apr-18,Saturday,Weekend,0
8-Apr-18,Sunday,Weekend,0
9-Apr-18,Monday,,1
10-Apr-18,Tuesday,,1
11-Apr-18,Wednesday,,1
12-Apr-18,Thursday,,1
13-Apr-18,Friday,,1
14-Apr-18,Saturday,Weekend,0
15-Apr-18,Sunday,Weekend,0
16-Apr-18,Monday,,1
17-Apr-18,Tuesday,,1
18-Apr-18,Wednesday,,1
19-Apr-18,Thursday,,1
20-Apr-18,Friday,,1
21-Apr-18,Saturday,Weekend,0
22-Apr-18,Sunday,Weekend,0
23-Apr-18,Monday,,1
24-Apr-18,Tuesday,,1
25-Apr-18,Wednesday,,1
26-Apr-18,Thursday,,1
27-Apr-18,Friday,,1
28-Apr-18,Saturday,Weekend,0
29-Apr-18,Sunday,Weekend,0
30-Apr-18,Monday,,1
1-May-18,Tuesday,,1
2-May-18,Wednesday,,1
3-May-18,Thursday,,1
4-May-18,Friday,,1
5-May-18,Saturday,Weekend,0
6-May-18,Sunday,Weekend,0
7-May-18,Monday,,1
8-May-18,Tuesday,,1
9-May-18,Wednesday,,1
10-May-18,Thursday,,1
11-May-18,Friday,,1
12-May-18,Saturday,Weekend,0
13-May-18,Sunday,Weekend,0
14-May-18,Monday,,1
15-May-18,Tuesday,,1
16-May-18,Wednesday,,1
17-May-18,Thursday,,1
18-May-18,Friday,,1
19-May-18,Saturday,Weekend,0
20-May-18,Sunday,Weekend,0
21-May-18,Monday,,1
22-May-18,Tuesday,,1
23-May-18,Wednesday,,1
24-May-18,Thursday,,1
25-May-18,Friday,,1
26-May-18,Saturday,Weekend,0
27-May-18,Sunday,Weekend,0
28-May-18,Monday,Memorial Day Holiday,0
29-May-18,Tuesday,,1
30-May-18,Wednesday,,1
31-May-18,Thursday,,1
1-Jun-18,Friday,,1
